,Film,Producer(s),Production Company(s),Winner,year,year_simple,Edition,Budget,Budget_converted_to_USD,Detail URL,Wiki URL
262,The Lion in Winter,Martin Poll,"Embassy, Haworth Productions",False,1968  (41st),1968,41,$10 million [ citation needed ],10000000,http://oscars.yipitdata.com/films/The_Lion_in_Winter_(1968_film),http://en.wikipedia.org/wiki/The_Lion_in_Winter_(1968_film)
263,"Rachel, Rachel",Paul Newman,Warner Bros.,False,1968  (41st),1968,41,"$780,000",780000,"http://oscars.yipitdata.com/films/Rachel,_Rachel","http://en.wikipedia.org/wiki/Rachel,_Rachel"
264,Romeo and Juliet,"Anthony Havelock-Allan , John Brabourne","Paramount, B.H.E. Productions, Verona Produzione, Dino De Laurentiis",False,1968  (41st),1968,41,"$850,000 [ 1 ]",850000,http://oscars.yipitdata.com/films/Romeo_and_Juliet_(1968_film),http://en.wikipedia.org/wiki/Romeo_and_Juliet_(1968_film)
265,Midnight Cowboy,Jerome Hellman,United Artists,True,1969  (42nd),1969,42,$3.2 million [ 1 ],3200000,http://oscars.yipitdata.com/films/Midnight_Cowboy,http://en.wikipedia.org/wiki/Midnight_Cowboy
266,Anne of the Thousand Days,Hal B. Wallis,Universal,False,1969  (42nd),1969,42,,0,http://oscars.yipitdata.com/films/Anne_of_the_Thousand_Days,http://en.wikipedia.org/wiki/Anne_of_the_Thousand_Days
267,Butch Cassidy and the Sundance Kid,John Foreman,20th Century Fox,False,1969  (42nd),1969,42,$6 million [ 2 ],6000000,http://oscars.yipitdata.com/films/Butch_Cassidy_and_the_Sundance_Kid,http://en.wikipedia.org/wiki/Butch_Cassidy_and_the_Sundance_Kid
268,"Hello, Dolly!",Ernest Lehman,20th Century Fox,False,1969  (42nd),1969,42,$25 million,25000000,"http://oscars.yipitdata.com/films/Hello,_Dolly!_(film)","http://en.wikipedia.org/wiki/Hello,_Dolly!_(film)"
269,Z [K],"Jacques Perrin , Ahmed Rachedi","O.N.C.I.C., Cinema V",False,1969  (42nd),1969,42,,0,http://oscars.yipitdata.com/films/Z_(1969_film),http://en.wikipedia.org/wiki/Z_(1969_film)
270,Patton,Frank McCarthy,20th Century Fox,True,1970  (43rd),1970,43,$12.6 million [ 1 ],12600000,http://oscars.yipitdata.com/films/Patton_(film),http://en.wikipedia.org/wiki/Patton_(film)
271,Airport,Ross Hunter,Universal,False,1970  (43rd),1970,43,$10.2 million [ 1 ],10200000,http://oscars.yipitdata.com/films/Airport_(1970_film),http://en.wikipedia.org/wiki/Airport_(1970_film)
272,Five Easy Pieces,"Bob Rafelson , Richard Wechsler",Columbia,False,1970  (43rd),1970,43,$1.6 million,1600000,http://oscars.yipitdata.com/films/Five_Easy_Pieces,http://en.wikipedia.org/wiki/Five_Easy_Pieces
273,Love Story,Howard G. Minsky,Paramount,False,1970  (43rd),1970,43,$2.2 million,2200000,http://oscars.yipitdata.com/films/Love_Story_(1970_film),http://en.wikipedia.org/wiki/Love_Story_(1970_film)
274,MASH,Ingo Preminger,20th Century Fox,False,1970  (43rd),1970,43,$3.025 million [ 2 ],3025000,http://oscars.yipitdata.com/films/MASH_(film),http://en.wikipedia.org/wiki/MASH_(film)
