,Film,Producer(s),Production Company(s),Winner,year,year_simple,Edition,Budget,Budget_converted_to_USD,Detail URL,Wiki URL
351,Children of a Lesser God,"Burt Sugarman , Patrick J. Palmer",Paramount,False,1986  (59th),1986,59,$2 million [ 1 ],2000000,http://oscars.yipitdata.com/films/Children_of_a_Lesser_God,http://en.wikipedia.org/wiki/Children_of_a_Lesser_God
352,Hannah and Her Sisters,Robert Greenhut,Orion,False,1986  (59th),1986,59,"$6,400,000 (est.)",6400000,http://oscars.yipitdata.com/films/Hannah_and_Her_Sisters,http://en.wikipedia.org/wiki/Hannah_and_Her_Sisters
353,The Mission,"Fernando Ghia , David Puttnam","Warner Bros., Enigma Film Productions, Goldcrest Films , Kingsmere",False,1986  (59th),1986,59,£16.5 million [ 1 ],22275000,http://oscars.yipitdata.com/films/The_Mission_(1986_film),http://en.wikipedia.org/wiki/The_Mission_(1986_film)
354,A Room with a View,Ismail Merchant,Merchant Ivory,False,1986  (59th),1986,59,£2.3 million [ 1 ],3105000,http://oscars.yipitdata.com/films/A_Room_with_a_View_(1986_film),http://en.wikipedia.org/wiki/A_Room_with_a_View_(1986_film)
355,The Last Emperor [O],Jeremy Thomas,"Columbia, Recorded Picture Company, Yanco Films, TAO Films, AAA, Soprofilms",True,1987  (60th),1987,60,$23.8 million [ 1 ],23800000,http://oscars.yipitdata.com/films/The_Last_Emperor,http://en.wikipedia.org/wiki/The_Last_Emperor
356,Broadcast News,James L. Brooks,20th Century Fox,False,1987  (60th),1987,60,$15 million [ 1 ],15000000,http://oscars.yipitdata.com/films/Broadcast_News_(film),http://en.wikipedia.org/wiki/Broadcast_News_(film)
357,Fatal Attraction,"Stanley R. Jaffe , Sherry Lansing",Paramount,False,1987  (60th),1987,60,$14 million,14000000,http://oscars.yipitdata.com/films/Fatal_Attraction,http://en.wikipedia.org/wiki/Fatal_Attraction
358,Hope and Glory,John Boorman,"Columbia, Goldcrest Films, Nelson Entertainment",False,1987  (60th),1987,60,$9.3 million [ 1 ],9300000,http://oscars.yipitdata.com/films/Hope_and_Glory_(film),http://en.wikipedia.org/wiki/Hope_and_Glory_(film)
359,Moonstruck,"Patrick J. Palmer, Norman Jewison",Metro-Goldwyn-Mayer,False,1987  (60th),1987,60,$15 million [ 1 ],15000000,http://oscars.yipitdata.com/films/Moonstruck,http://en.wikipedia.org/wiki/Moonstruck
360,Rain Man,Mark Johnson,United Artists,True,1988  (61st),1988,61,$25 million [ 1 ],25000000,http://oscars.yipitdata.com/films/Rain_Man,http://en.wikipedia.org/wiki/Rain_Man
361,The Accidental Tourist,"Lawrence Kasdan , Charles Okun, Michael Grillo",Warner Bros.,False,1988  (61st),1988,61,,0,http://oscars.yipitdata.com/films/The_Accidental_Tourist_(film),http://en.wikipedia.org/wiki/The_Accidental_Tourist_(film)
362,Dangerous Liaisons,"Norma Heyman , Hank Moonjean","Warner Bros., Lorimar, N.F.H. Productions",False,1988  (61st),1988,61,$14 million,14000000,http://oscars.yipitdata.com/films/Dangerous_Liaisons,http://en.wikipedia.org/wiki/Dangerous_Liaisons
363,Mississippi Burning,"Frederick Zollo , Robert F. Colesberry",Orion,False,1988  (61st),1988,61,,0,http://oscars.yipitdata.com/films/Mississippi_Burning,http://en.wikipedia.org/wiki/Mississippi_Burning
364,Working Girl,Douglas Wick,20th Century Fox,False,1988  (61st),1988,61,$ 28.6 million,28600000,http://oscars.yipitdata.com/films/Working_Girl,http://en.wikipedia.org/wiki/Working_Girl
365,Driving Miss Daisy,"Richard D. Zanuck , Lili Fini Zanuck",Warner Bros.,True,1989  (62nd),1989,62,$7.5 million [ 3 ],7500000,http://oscars.yipitdata.com/films/Driving_Miss_Daisy,http://en.wikipedia.org/wiki/Driving_Miss_Daisy
366,Born on the Fourth of July,"A. Kitman Ho, Oliver Stone",Universal,False,1989  (62nd),1989,62,$14 million,14000000,http://oscars.yipitdata.com/films/Born_on_the_Fourth_of_July_(film),http://en.wikipedia.org/wiki/Born_on_the_Fourth_of_July_(film)
367,Dead Poets Society,"Steven Haft, Paul Junger Witt , Tony Thomas",Touchstone,False,1989  (62nd),1989,62,$16.4 million,16399999,http://oscars.yipitdata.com/films/Dead_Poets_Society,http://en.wikipedia.org/wiki/Dead_Poets_Society
368,Field of Dreams,"Lawrence Gordon , Charles Gordon",Universal,False,1989  (62nd),1989,62,$15 million [ 2 ] [ 3 ],15000000,http://oscars.yipitdata.com/films/Field_of_Dreams,http://en.wikipedia.org/wiki/Field_of_Dreams
369,My Left Foot,Noel Pearson,"Miramax , Ferndale Films, Granada Television International",False,1989  (62nd),1989,62,"£600,000",810000,http://oscars.yipitdata.com/films/My_Left_Foot,http://en.wikipedia.org/wiki/My_Left_Foot
370,Dances with Wolves,Jim Wilson and Kevin Costner,"Orion, TIG Productions",True,1990  (63rd),1990,63,$22 million [ 2 ],22000000,http://oscars.yipitdata.com/films/Dances_with_Wolves,http://en.wikipedia.org/wiki/Dances_with_Wolves
371,Awakenings,Walter F. Parkes and Lawrence Lasker,Columbia,False,1990  (63rd),1990,63,$31 million [ 1 ],31000000,http://oscars.yipitdata.com/films/Awakenings,http://en.wikipedia.org/wiki/Awakenings
372,Ghost,Lisa Weinstein,Paramount,False,1990  (63rd),1990,63,$22 million,22000000,http://oscars.yipitdata.com/films/Ghost_(1990_film),http://en.wikipedia.org/wiki/Ghost_(1990_film)
373,The Godfather Part III,Francis Ford Coppola,"Paramount, American Zoetrope",False,1990  (63rd),1990,63,$54 million [ 2 ],54000000,http://oscars.yipitdata.com/films/The_Godfather_Part_III,http://en.wikipedia.org/wiki/The_Godfather_Part_III
374,Goodfellas,Irwin Winkler,Warner Bros.,False,1990  (63rd),1990,63,$25 million [ 2 ],25000000,http://oscars.yipitdata.com/films/Goodfellas,http://en.wikipedia.org/wiki/Goodfellas
375,The Silence of the Lambs,"Edward Saxon , Kenneth Utt , and Ron Bozman",Orion,True,1991  (64th),1991,64,$19 million [ 2 ],19000000,http://oscars.yipitdata.com/films/The_Silence_of_the_Lambs_(film),http://en.wikipedia.org/wiki/The_Silence_of_the_Lambs_(film)
376,Beauty and the Beast,Don Hahn,Disney,False,1991  (64th),1991,64,$25 million [ 2 ],25000000,http://oscars.yipitdata.com/films/Beauty_and_the_Beast_(1991_film),http://en.wikipedia.org/wiki/Beauty_and_the_Beast_(1991_film)
377,Bugsy,"Mark Johnson , Barry Levinson , and Warren Beatty","TriStar, Mulholland Productions, Baltimore Pictures",False,1991  (64th),1991,64,$30 million [ 2 ],30000000,http://oscars.yipitdata.com/films/Bugsy,http://en.wikipedia.org/wiki/Bugsy
378,JFK,A. Kitman Ho and Oliver Stone,"Warner Bros., Regency Enterprises",False,1991  (64th),1991,64,$40 million,40000000,http://oscars.yipitdata.com/films/JFK_(film),http://en.wikipedia.org/wiki/JFK_(film)
379,The Prince of Tides,Barbra Streisand and Andrew S. Karsch,Columbia,False,1991  (64th),1991,64,$30 million,30000000,http://oscars.yipitdata.com/films/The_Prince_of_Tides,http://en.wikipedia.org/wiki/The_Prince_of_Tides
380,Unforgiven,Clint Eastwood,"Warner Bros., Malpaso",True,1992  (65th),1992,65,$14.4 million [ 2 ],14400000,http://oscars.yipitdata.com/films/Unforgiven,http://en.wikipedia.org/wiki/Unforgiven
381,The Crying Game,Stephen Woolley,"Miramax, Palace Pictures",False,1992  (65th),1992,65,£ 2.3 million ( $ 3.6 million),3105000,http://oscars.yipitdata.com/films/The_Crying_Game,http://en.wikipedia.org/wiki/The_Crying_Game
382,A Few Good Men,"David Brown , Rob Reiner , and Andrew Scheinman","Columbia, Castle Rock Entertainment",False,1992  (65th),1992,65,$33–40 million [ 1 ] [ 2 ],33000000,http://oscars.yipitdata.com/films/A_Few_Good_Men,http://en.wikipedia.org/wiki/A_Few_Good_Men
383,Howards End,Ismail Merchant,"Sony Pictures Classics , Merchant Ivory",False,1992  (65th),1992,65,$8 million,8000000,http://oscars.yipitdata.com/films/Howards_End_(film),http://en.wikipedia.org/wiki/Howards_End_(film)
384,Scent of a Woman,Martin Brest,Universal,False,1992  (65th),1992,65,$31 million [ 1 ],31000000,http://oscars.yipitdata.com/films/Scent_of_a_Woman_(1992_film),http://en.wikipedia.org/wiki/Scent_of_a_Woman_(1992_film)
385,Schindler's List,"Steven Spielberg , Gerald R. Molen , and Branko Lustig","Universal, Amblin Entertainment",True,1993  (66th),1993,66,$22 million [ 2 ],22000000,http://oscars.yipitdata.com/films/Schindler%2527s_List,http://en.wikipedia.org/wiki/Schindler%27s_List
386,The Fugitive,Arnold Kopelson,Warner Bros.,False,1993  (66th),1993,66,$44 million [ 1 ],44000000,http://oscars.yipitdata.com/films/The_Fugitive_(1993_film),http://en.wikipedia.org/wiki/The_Fugitive_(1993_film)
387,In the Name of the Father,Jim Sheridan,"Universal, Hell's Kitchen",False,1993  (66th),1993,66,$13 million,13000000,http://oscars.yipitdata.com/films/In_the_Name_of_the_Father_(film),http://en.wikipedia.org/wiki/In_the_Name_of_the_Father_(film)
388,The Piano,Jan Chapman,"Miramax, Jan Chapman Productions",False,1993  (66th),1993,66,$7 million [ 1 ],7000000,http://oscars.yipitdata.com/films/The_Piano,http://en.wikipedia.org/wiki/The_Piano
389,The Remains of the Day,"Mike Nichols , John Calley , and Ismail Merchant","Columbia, Merchant Ivory",False,1993  (66th),1993,66,$15 million,15000000,http://oscars.yipitdata.com/films/The_Remains_of_the_Day_(film),http://en.wikipedia.org/wiki/The_Remains_of_the_Day_(film)
390,Forrest Gump,"Wendy Finerman , Steve Tisch , and Steve Starkey",Paramount,True,1994  (67th),1994,67,$55 million [ 1 ],55000000,http://oscars.yipitdata.com/films/Forrest_Gump,http://en.wikipedia.org/wiki/Forrest_Gump
391,Four Weddings and a Funeral,Duncan Kenworthy,"PolyGram , Working Title",False,1994  (67th),1994,67,"£2,800,000",3780000,http://oscars.yipitdata.com/films/Four_Weddings_and_a_Funeral,http://en.wikipedia.org/wiki/Four_Weddings_and_a_Funeral
392,Pulp Fiction,Lawrence Bender,Miramax,False,1994  (67th),1994,67,$8–8.5 million [ 2 ] [ 3 ],8000000,http://oscars.yipitdata.com/films/Pulp_Fiction,http://en.wikipedia.org/wiki/Pulp_Fiction
393,Quiz Show,"Michael Jacobs , Julian Krainin, Michael Nozik , and Robert Redford",Hollywood,False,1994  (67th),1994,67,$31 million [ 1 ],31000000,http://oscars.yipitdata.com/films/Quiz_Show_(film),http://en.wikipedia.org/wiki/Quiz_Show_(film)
394,The Shawshank Redemption,Niki Marvin,"Columbia, Castle Rock Entertainment",False,1994  (67th),1994,67,$25 million [ 2 ],25000000,http://oscars.yipitdata.com/films/The_Shawshank_Redemption,http://en.wikipedia.org/wiki/The_Shawshank_Redemption
395,Braveheart,"Mel Gibson , Alan Ladd, Jr. , and Bruce Davey","Paramount, 20th Century Fox, Icon",True,1995  (68th),1995,68,$72 million [ 2 ],72000000,http://oscars.yipitdata.com/films/Braveheart,http://en.wikipedia.org/wiki/Braveheart
396,Apollo 13,Brian Grazer,"Universal, Imagine Entertainment",False,1995  (68th),1995,68,$52 million [ 1 ],52000000,http://oscars.yipitdata.com/films/Apollo_13_(film),http://en.wikipedia.org/wiki/Apollo_13_(film)
397,Babe,"Bill Miller , George Miller , and Doug Mitchell","Universal, Kennedy Miller Productions",False,1995  (68th),1995,68,$30 million,30000000,http://oscars.yipitdata.com/films/Babe_(film),http://en.wikipedia.org/wiki/Babe_(film)
398,Il Postino: The Postman [K],"Mario Cecchi Gori , Vittorio Cecchi Gori , and Gaetano Daniele","Miramax, Cecchi Gori Group Tiger Cinematografica, Esterno Mediterraneo Film, Blue Dahlia, Penta Film",False,1995  (68th),1995,68,$3 million [ 1 ],3000000,http://oscars.yipitdata.com/films/Il_Postino:_The_Postman,http://en.wikipedia.org/wiki/Il_Postino:_The_Postman
399,Sense and Sensibility,Lindsay Doran,"Columbia, Mirage",False,1995  (68th),1995,68,$16 million,16000000,http://oscars.yipitdata.com/films/Sense_and_Sensibility_(film),http://en.wikipedia.org/wiki/Sense_and_Sensibility_(film)
400,The English Patient,Saul Zaentz,"Miramax, Tiger Moth Productions",True,1996  (69th),1996,69,$27 million [ 2 ],27000000,http://oscars.yipitdata.com/films/The_English_Patient_(film),http://en.wikipedia.org/wiki/The_English_Patient_(film)
401,Fargo,Ethan Coen,PolyGram,False,1996  (69th),1996,69,$7 million [ 3 ],7000000,http://oscars.yipitdata.com/films/Fargo_(film),http://en.wikipedia.org/wiki/Fargo_(film)
402,Jerry Maguire,"James L. Brooks , Laurence Mark , Richard Sakai , and Cameron Crowe","TriStar, Gracie Films",False,1996  (69th),1996,69,$50 million,50000000,http://oscars.yipitdata.com/films/Jerry_Maguire,http://en.wikipedia.org/wiki/Jerry_Maguire
403,Secrets & Lies,Simon Channing-Williams,"October , Thin Man Films",False,1996  (69th),1996,69,,0,http://oscars.yipitdata.com/films/Secrets_%26_Lies_(film),http://en.wikipedia.org/wiki/Secrets_%26_Lies_(film)
404,Shine,Jane Scott,"FineLine Features , Momentum Films",False,1996  (69th),1996,69,$6 million [ 1 ],6000000,http://oscars.yipitdata.com/films/Shine_(film),http://en.wikipedia.org/wiki/Shine_(film)
405,Titanic,James Cameron and Jon Landau,"Paramount, 20th Century Fox, Lightstorm Entertainment",True,1997  (70th),1997,70,$200 million [ 3 ] [ 4 ] [ 5 ],200000000,http://oscars.yipitdata.com/films/Titanic_(1997_film),http://en.wikipedia.org/wiki/Titanic_(1997_film)
406,As Good as It Gets,"James L. Brooks , Bridget Johnson, Kristi Zea","Tristar, Gracie Films",False,1997  (70th),1997,70,$50 million [ 1 ],50000000,http://oscars.yipitdata.com/films/As_Good_as_It_Gets,http://en.wikipedia.org/wiki/As_Good_as_It_Gets
407,The Full Monty,Umberto Pasolini,"Fox Searchlight , Redwave Films",False,1997  (70th),1997,70,£3 million [ 2 ]  ($3.5 million) [ 3 ],4050000,http://oscars.yipitdata.com/films/The_Full_Monty,http://en.wikipedia.org/wiki/The_Full_Monty
408,Good Will Hunting,Lawrence Bender,"Miramax, A Band Apart",False,1997  (70th),1997,70,$10 million,10000000,http://oscars.yipitdata.com/films/Good_Will_Hunting,http://en.wikipedia.org/wiki/Good_Will_Hunting
409,L.A. Confidential,"Curtis Hanson , Arnon Milchan , and Michael G. Nathanson","Warner Bros., Regency Enterprises",False,1997  (70th),1997,70,$35 million,35000000,http://oscars.yipitdata.com/films/L.A._Confidential_(film),http://en.wikipedia.org/wiki/L.A._Confidential_(film)
410,Shakespeare in Love,"David Parfitt , Donna Gigliotti , Harvey Weinstein , Edward Zwick , and Marc Norman","Miramax, Universal, Bedford Falls Company",True,1998  (71st),1998,71,$25 million [ 2 ],25000000,http://oscars.yipitdata.com/films/Shakespeare_in_Love,http://en.wikipedia.org/wiki/Shakespeare_in_Love
411,Elizabeth,"Alison Owen , Eric Fellner , and Tim Bevan","PolyGram, Gramercy",False,1998  (71st),1998,71,$30 million,30000000,http://oscars.yipitdata.com/films/Elizabeth_(film),http://en.wikipedia.org/wiki/Elizabeth_(film)
412,Life Is Beautiful [K],Elda Ferri and Gianluigi Braschi,"Miramax, Melampo Cinematografica, Pacific Pictures",False,1998  (71st),1998,71,$20 million [ 2 ],20000000,http://oscars.yipitdata.com/films/Life_Is_Beautiful,http://en.wikipedia.org/wiki/Life_Is_Beautiful
413,Saving Private Ryan,"Steven Spielberg , Ian Bryce , Mark Gordon , and Gary Levinsohn","DreamWorks , Paramount, Amblin Entertainment",False,1998  (71st),1998,71,$70 million [ 1 ],70000000,http://oscars.yipitdata.com/films/Saving_Private_Ryan,http://en.wikipedia.org/wiki/Saving_Private_Ryan
414,The Thin Red Line,"Robert Michael Geisler, John Roberdeau, and Grant Hill",20th Century Fox,False,1998  (71st),1998,71,$52 million [ 1 ],52000000,http://oscars.yipitdata.com/films/The_Thin_Red_Line_(1998_film),http://en.wikipedia.org/wiki/The_Thin_Red_Line_(1998_film)
415,American Beauty,Bruce Cohen and Dan Jinks,"DreamWorks, Jinks/Cohen Co.",True,1999  (72nd),1999,72,$15 million [ 2 ],15000000,http://oscars.yipitdata.com/films/American_Beauty_(1999_film),http://en.wikipedia.org/wiki/American_Beauty_(1999_film)
416,The Cider House Rules,Richard N. Gladstein,"Miramax, FilmColony",False,1999  (72nd),1999,72,$24 million [ 2 ],24000000,http://oscars.yipitdata.com/films/The_Cider_House_Rules_(film),http://en.wikipedia.org/wiki/The_Cider_House_Rules_(film)
417,The Green Mile,Frank Darabont and David Valdes,"Warner Bros., Castle Rock Entertainment",False,1999  (72nd),1999,72,$60 million [ 1 ],60000000,http://oscars.yipitdata.com/films/The_Green_Mile_(film),http://en.wikipedia.org/wiki/The_Green_Mile_(film)
418,The Insider,Pieter Jan Brugge and Michael Mann,"Touchstone, Spyglass Entertainment",False,1999  (72nd),1999,72,$90 million,90000000,http://oscars.yipitdata.com/films/The_Insider_(film),http://en.wikipedia.org/wiki/The_Insider_(film)
419,The Sixth Sense,"Frank Marshall , Kathleen Kennedy , and Barry Mendel","Hollywood, Spyglass Entertainment",False,1999  (72nd),1999,72,$40 million [ 1 ],40000000,http://oscars.yipitdata.com/films/The_Sixth_Sense,http://en.wikipedia.org/wiki/The_Sixth_Sense
420,Gladiator,"Douglas Wick , David Franzoni , and Branko Lustig","DreamWorks, Universal, Scott Free Productions, Red Wagon Entertainment",True,2000  (73rd),2000,73,$103 million [ 6 ] [ 7 ],103000000,http://oscars.yipitdata.com/films/Gladiator_(2000_film),http://en.wikipedia.org/wiki/Gladiator_(2000_film)
421,Chocolat,"David Brown , Kit Golden, and Leslie Holleran",Miramax,False,2000  (73rd),2000,73,$25 million,25000000,http://oscars.yipitdata.com/films/Chocolat_(2000_film),http://en.wikipedia.org/wiki/Chocolat_(2000_film)
422,"Crouching Tiger, Hidden Dragon [K]","William Kong , Hsu Li Kong , and Ang Lee",Sony Pictures Classics,False,2000  (73rd),2000,73,$17 million,17000000,"http://oscars.yipitdata.com/films/Crouching_Tiger,_Hidden_Dragon","http://en.wikipedia.org/wiki/Crouching_Tiger,_Hidden_Dragon"
423,Erin Brockovich,"Danny DeVito , Michael Shamberg , and Stacey Sher","Universal, Columbia, Jersey Films",False,2000  (73rd),2000,73,$51 million,51000000,http://oscars.yipitdata.com/films/Erin_Brockovich_(film),http://en.wikipedia.org/wiki/Erin_Brockovich_(film)
424,Traffic,"Edward Zwick , Marshall Herskovitz , and Laura Bickford","Universal, USA , Bedford Falls Company",False,2000  (73rd),2000,73,$46 million [ 1 ],46000000,http://oscars.yipitdata.com/films/Traffic_(2000_film),http://en.wikipedia.org/wiki/Traffic_(2000_film)
425,A Beautiful Mind,Brian Grazer and Ron Howard,"DreamWorks, Universal, Imagine Entertainment",True,2001  (74th),2001,74,$58 million [ 1 ],58000000,http://oscars.yipitdata.com/films/A_Beautiful_Mind_(film),http://en.wikipedia.org/wiki/A_Beautiful_Mind_(film)
426,Gosford Park,"Robert Altman , Bob Balaban , and David Levy","USA, Sandcastle 5 Productions, Zestwick",False,2001  (74th),2001,74,$19.8 million [ 1 ],19800000,http://oscars.yipitdata.com/films/Gosford_Park,http://en.wikipedia.org/wiki/Gosford_Park
427,In the Bedroom,"Graham Leader, Ross Katz , and Todd Field","Miramax, Good Machine",False,2001  (74th),2001,74,$1.7 million [ 1 ],1700000,http://oscars.yipitdata.com/films/In_the_Bedroom,http://en.wikipedia.org/wiki/In_the_Bedroom
428,The Lord of the Rings: The Fellowship of the Ring,"Peter Jackson , Fran Walsh , and Barrie M. Osborne","New Line Cinema , WingNut Films",False,2001  (74th),2001,74,$93 million [ 3 ],93000000,http://oscars.yipitdata.com/films/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring
429,Moulin Rouge!,"Martin Brown, Baz Luhrmann , and Fred Baron","20th Century Fox, Bazmark",False,2001  (74th),2001,74,$52 million [ 2 ],52000000,http://oscars.yipitdata.com/films/Moulin_Rouge!,http://en.wikipedia.org/wiki/Moulin_Rouge!
430,Chicago,Martin Richards,"Miramax, Producer Circle Co., Storyline Entertainment",True,2002  (75th),2002,75,$45 million [ 2 ],45000000,http://oscars.yipitdata.com/films/Chicago_(2002_film),http://en.wikipedia.org/wiki/Chicago_(2002_film)
431,Gangs of New York,Alberto Grimaldi and Harvey Weinstein,Miramax,False,2002  (75th),2002,75,$97–$100 million [ 2 ] [ 3 ],97000000,http://oscars.yipitdata.com/films/Gangs_of_New_York,http://en.wikipedia.org/wiki/Gangs_of_New_York
432,The Hours,Scott Rudin and Robert Fox,"Paramount, Miramax, Scott Rudin Productions",False,2002  (75th),2002,75,$25 million,25000000,http://oscars.yipitdata.com/films/The_Hours_(film),http://en.wikipedia.org/wiki/The_Hours_(film)
433,The Lord of the Rings: The Two Towers,"Barrie M. Osborne , Fran Walsh , and Peter Jackson","New Line Cinema, WingNut Films",False,2002  (75th),2002,75,$94 million [ 5 ],94000000,http://oscars.yipitdata.com/films/The_Lord_of_the_Rings:_The_Two_Towers,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Two_Towers
434,The Pianist,"Roman Polanski , Robert Benmussa, and Alain Sarde","Focus Features , RP Productions, Heritage Films, Babelsberg Studios, Runteam",False,2002  (75th),2002,75,$35 million [ 2 ],35000000,http://oscars.yipitdata.com/films/The_Pianist_(2002_film),http://en.wikipedia.org/wiki/The_Pianist_(2002_film)
435,The Lord of the Rings: The Return of the King,"Barrie M. Osborne , Peter Jackson , and Fran Walsh","New Line Cinema, WingNut Films",True,2003  (76th),2003,76,$94 million [ 5 ],94000000,http://oscars.yipitdata.com/films/The_Lord_of_the_Rings:_The_Return_of_the_King,http://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King
436,Lost in Translation,Ross Katz and Sofia Coppola,"Focus Features, American Zoetrope",False,2003  (76th),2003,76,$4 million [ 3 ],4000000,http://oscars.yipitdata.com/films/Lost_in_Translation_(film),http://en.wikipedia.org/wiki/Lost_in_Translation_(film)
437,Master and Commander: The Far Side of the World,"Samuel Goldwyn, Jr. , Peter Weir , and Duncan Henderson","20th Century Fox, Miramax, Universal, Samuel Goldlwyn Films",False,2003  (76th),2003,76,$150 million [ 3 ],150000000,http://oscars.yipitdata.com/films/Master_and_Commander:_The_Far_Side_of_the_World,http://en.wikipedia.org/wiki/Master_and_Commander:_The_Far_Side_of_the_World
438,Mystic River,"Robert Lorenz , Judie G. Hoyt, and Clint Eastwood","Warner Bros.,Village Roadshow Pictures, Malpaso",False,2003  (76th),2003,76,$30 million [ 2 ] [ 3 ],30000000,http://oscars.yipitdata.com/films/Mystic_River_(film),http://en.wikipedia.org/wiki/Mystic_River_(film)
439,Seabiscuit,"Kathleen Kennedy , Frank Marshall , and Gary Ross","DreamWorks, Universal, Spyglass Entertainment, Kennedy/Marshall Productions",False,2003  (76th),2003,76,$87 million,87000000,http://oscars.yipitdata.com/films/Seabiscuit_(film),http://en.wikipedia.org/wiki/Seabiscuit_(film)
440,Million Dollar Baby,"Clint Eastwood , Albert S. Ruddy , and Tom Rosenberg","Warner Bros., Lakeshore Entertainment, Malpaso",True,2004  (77th),2004,77,$30 million [ 1 ] [ 2 ],30000000,http://oscars.yipitdata.com/films/Million_Dollar_Baby,http://en.wikipedia.org/wiki/Million_Dollar_Baby
441,The Aviator,Michael Mann and Graham King,"Warner Bros., Miramax, Forward Pass, Appian Way",False,2004  (77th),2004,77,$110 million,110000000,http://oscars.yipitdata.com/films/The_Aviator_(2004_film),http://en.wikipedia.org/wiki/The_Aviator_(2004_film)
442,Finding Neverland,Richard N. Gladstein and Nellie Bellflower,"Miramax, Filmcolony",False,2004  (77th),2004,77,$25 million,25000000,http://oscars.yipitdata.com/films/Finding_Neverland_(film),http://en.wikipedia.org/wiki/Finding_Neverland_(film)
443,Ray,"Taylor Hackford , Stuart Benjamin , and Howard Baldwin","Universal, Britsol Bay Productions, Anvil Films",False,2004  (77th),2004,77,$40 million [ 1 ],40000000,http://oscars.yipitdata.com/films/Ray_(film),http://en.wikipedia.org/wiki/Ray_(film)
444,Sideways,Michael London,Fox Searchlight,False,2004  (77th),2004,77,$16 million,16000000,http://oscars.yipitdata.com/films/Sideways,http://en.wikipedia.org/wiki/Sideways
445,Crash,Paul Haggis and Cathy Schulman,"Lionsgate , BlackFriar's Bridge, Harris Company, ApolloProScreen",True,2005  (78th),2005,78,$6.5 million [ 2 ],6500000,http://oscars.yipitdata.com/films/Crash_(2004_film),http://en.wikipedia.org/wiki/Crash_(2004_film)
446,Brokeback Mountain,Diana Ossana and James Schamus,"Focus Features, River Road Entertainment",False,2005  (78th),2005,78,$14 million [ 1 ],14000000,http://oscars.yipitdata.com/films/Brokeback_Mountain,http://en.wikipedia.org/wiki/Brokeback_Mountain
447,Capote,"Caroline Baron , William Vince , and Michael Ohoven","Sony Pictures Classics, United Artists, A-Line Pictures, Cooper's Town Productions, Infinity Media",False,2005  (78th),2005,78,$7 million [ 2 ],7000000,http://oscars.yipitdata.com/films/Capote_(film),http://en.wikipedia.org/wiki/Capote_(film)
448,"Good Night, and Good Luck",Grant Heslov,"Warner Independent , Section Eight Productions , 2929 Entertainment",False,2005  (78th),2005,78,$7 million [ 1 ],7000000,"http://oscars.yipitdata.com/films/Good_Night,_and_Good_Luck","http://en.wikipedia.org/wiki/Good_Night,_and_Good_Luck"
449,Munich,"Steven Spielberg , Kathleen Kennedy , and Barry Mendel","DreamWorks, Universal, Amblin Entertainment, Kennedy/Marshall Productions",False,2005  (78th),2005,78,$70 million [ 1 ],70000000,http://oscars.yipitdata.com/films/Munich_(film),http://en.wikipedia.org/wiki/Munich_(film)
450,The Departed,Graham King,"Warner Bros., Plan B Pictures, Initial Entertainment Group, Vertigo Entertainment",True,2006  (79th),2006,79,$90 million [ 1 ],90000000,http://oscars.yipitdata.com/films/The_Departed,http://en.wikipedia.org/wiki/The_Departed
451,Babel,"Alejandro González Iñárritu , Steve Golin , and Jon Kilik","Paramount Vantage , Anonymous Content, Zeta Film",False,2006  (79th),2006,79,$25 million,25000000,http://oscars.yipitdata.com/films/Babel_(film),http://en.wikipedia.org/wiki/Babel_(film)
452,Letters from Iwo Jima [K],"Clint Eastwood , Steven Spielberg , and Robert Lorenz","DreamWorks, Warner Bros., Malpaso, Amblin Entertainment",False,2006  (79th),2006,79,$19 million [ 2 ],19000000,http://oscars.yipitdata.com/films/Letters_from_Iwo_Jima,http://en.wikipedia.org/wiki/Letters_from_Iwo_Jima
453,Little Miss Sunshine,"David T. Friendly , Peter Saraf , and Marc Turtletaub","Fox Searchlight, Big Beach, Deep River Productions",False,2006  (79th),2006,79,$8 million,8000000,http://oscars.yipitdata.com/films/Little_Miss_Sunshine,http://en.wikipedia.org/wiki/Little_Miss_Sunshine
454,The Queen,"Andy Harries , Christine Langan , and Tracey Seaward","Miramax, Granada Productions",False,2006  (79th),2006,79,£9.8 million ($15 million),13230000,http://oscars.yipitdata.com/films/The_Queen_(film),http://en.wikipedia.org/wiki/The_Queen_(film)
455,No Country for Old Men,"Scott Rudin , Joel Coen, and Ethan Coen","Paramount Vantage, Miramax, Mike Zoss Productions",True,2007  (80th),2007,80,$25 million,25000000,http://oscars.yipitdata.com/films/No_Country_for_Old_Men_(film),http://en.wikipedia.org/wiki/No_Country_for_Old_Men_(film)
456,Atonement,"Tim Bevan , Eric Fellner , and Paul Webster","Universal, Working Title",False,2007  (80th),2007,80,$30 million [ citation needed ],30000000,http://oscars.yipitdata.com/films/Atonement_(film),http://en.wikipedia.org/wiki/Atonement_(film)
